"Organisation Name","Town/City","County","Type & Rating","Route"
" McMullan Shellfish","Ballymena","Co Antrim","Worker (A rating)","Skilled Worker"
"(IECC Care) Independent Excel Care Consortium Limited","Colchester",,"Worker (A rating)","Skilled Worker"
"*ABOUTCARE HASTINGS LTD","East Sussex",,"Worker (A rating)","Skilled Worker"
"???£ ESS LTD","Manchester",,"Worker (A rating)","Skilled Worker"
"@ Architect UK Ltd","West Horndon","Essex","Worker (A rating)","Skilled Worker"
"@ Home Accommodation Services Ltd","London",,"Worker (A rating)","Skilled Worker"
"@ Home Accommodation Services Ltd","London",,"Temporary Worker (A rating)","Creative Worker"
"@ Ur Eaz Ltd","High Wycombe",,"Worker (A rating)","Skilled Worker"
"@@@ FILER LIMITED","Bolton",,"Worker (A rating)","Skilled Worker"
"[AI] INFINITI LIMITED","Croydon","England","Worker (A rating)","Skilled Worker"
"`Brunswick Stores Limited"," Leamington Spa","Warwickshire","Worker (A rating)","Skilled Worker"
"003 Ltd","Hounslow",,"Worker (A rating)","Skilled Worker"
"007 Taxi Limited","Oxford","Oxfordshire","Worker (A rating)","Skilled Worker"
"0086 Ltd","London",,"Worker (A rating)","Skilled Worker"
"00Nation Limited","London","London","Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"00Nation Limited","London","London","Worker (A rating)","Skilled Worker"
"01 ACCOUNTING SERVICES LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"012 Global Ltd","London",,"Worker (A rating)","Skilled Worker"
"023 LTD","Edinburgh",,"Worker (A rating)","Skilled Worker"
"09 Care Limited","Bradford",,"Worker (A rating)","Skilled Worker"
"0xA Technologies Ltd","London",,"Worker (A rating)","Skilled Worker"
"1 ACE TRAINING LIMITED","London",,"Worker (A rating)","Skilled Worker"
"1 ALS LIMITED","London",,"Worker (A rating)","Skilled Worker"
"1 AND 1 ROUGAMO LIMITED","Cambridge",,"Worker (A rating)","Skilled Worker"
"1 And 5 Tech Ltd","Slough",,"Worker (A rating)","Skilled Worker"
"1 Answer Insurance Services LTD.","Polegate","East Sussex","Worker (A rating)","Skilled Worker"
"1 Bishops Avenue Limited","London",,"Worker (A rating)","Skilled Worker"
"1 Digitals Europe Limited","Slough",,"Worker (A rating)","Skilled Worker"
"1 Eclipse Care Solutions Limited","Barking",,"Worker (A rating)","Skilled Worker"
"1 Green Foods Ltd","Northolt",,"Worker (A rating)","Skilled Worker"
"1 Homecare Ltd","Preston","Lancashire","Worker (A rating)","Skilled Worker"
"1 Indus Limited","Bath",,"Worker (A rating)","Skilled Worker"
"1 Key Solution Limited","Leicester",,"Worker (A rating)","Skilled Worker"
"1 Kings Dental Limited","London",,"Worker (A rating)","Skilled Worker"
"1 Life London Limited","Streatham",,"Worker (A rating)","Skilled Worker"
"1 MODEL MANAGEMENT LONDON LIMITED","London",,"Temporary Worker (A rating)","Creative Worker"
"1 Oak Home Care","Sudbury","Suffolk","Worker (A rating)","Skilled Worker"
"1 Oak Leisure Ireland Ltd","Cookstown","Tyrone","Worker (A rating)","Skilled Worker"
"1 PhysioUK Limited","Milton Keynes",,"Worker (A rating)","Skilled Worker"
"1 REPAIR LTD","Clarkston","Glasgow","Worker (A rating)","Skilled Worker"
"1 STOP CARS LTD","STAINES",,"Worker (A rating)","Skilled Worker"
"1 Stop Print Ltd","Ilford",,"Worker (A rating)","Skilled Worker"
"1 STOP REC LIMITED","ESSEX",,"Worker (A rating)","Skilled Worker"
"1 Stop Wash Ltd","London",,"Worker (A rating)","Skilled Worker"
"10 Europe Limited","Edinburgh",,"Worker (A rating)","Skilled Worker"
"10 Europe Limited","Edinburgh",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"10 Squared Ltd","Pocklington","East riding of yorkshire","Worker (A rating)","Skilled Worker"
"10:10 Games Limited","Warrington","Cheshire","Worker (A rating)","Skilled Worker"
"100 Percent Cornwall Ltd","Truro","Cornwall","Worker (A rating)","Skilled Worker"
"100 SHAPES LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"100% HALAL MEAT STORES LTD","Birmingham",,"Worker (A rating)","Skilled Worker"
"1000 Trades Limited","Birmingham",,"Worker (A rating)","Skilled Worker"
"1000heads Ltd","London",,"Worker (A rating)","Skilled Worker"
"100Starlings Ltd","London",,"Worker (A rating)","Skilled Worker"
"101 A+D Ltd.","Bristol",,"Worker (A rating)","Skilled Worker"
"101 Harley Street LTD","London",,"Worker (A rating)","Skilled Worker"
"101 Healthcare ltd","Gloucester",,"Worker (A rating)","Skilled Worker"
"101 Ways Limited","London",,"Worker (A rating)","Skilled Worker"
"1010 Restaurant @ The Blacksmiths arms","Billingshurst","West Sussex","Worker (A rating)","Skilled Worker"
"105 West Architects Ltd","Bristol",,"Worker (A rating)","Skilled Worker"
"1066 PLUMBING AND HEATING LTD","St. Leonards-On-Sea,",,"Worker (A rating)","Skilled Worker"
"107 Cannon Street Limited","London",,"Worker (A rating)","Skilled Worker"
"108 Media Ltd","Richmond","London","Worker (A rating)","Skilled Worker"
"1080 Properties Ltd","Kent",,"Worker (A rating)","Skilled Worker"
"10ACT Ltd T/A TrackBack","Chilworth, Southampton","Hampshire","Worker (A rating)","Skilled Worker"
"10architect Ltd","Manchester",,"Worker (A rating)","Skilled Worker"
"10BE5 LTD.","London",,"Worker (A rating)","Skilled Worker"
"10BIT FX LIMITED","London",,"Worker (A rating)","Skilled Worker"
"10BIT FX LIMITED","London",,"Temporary Worker (A rating)","Creative Worker"
"10Pearls Ltd","London",,"Worker (A rating)","Skilled Worker"
"10X Banking Technology Services Ltd","London",,"Worker (A rating)","Skilled Worker"
"11 2 11 Ltd","Stamford",,"Worker (A rating)","Skilled Worker"
"11 BERKELEY STREET LIMITED","London",,"Worker (A rating)","Skilled Worker"
"11 Hospitality Limited T/A Holiday Inn Birmingham Airport NEC","Birmingham",,"Worker (A rating)","Skilled Worker"
"11:FS GROUP LIMITED","London",,"Worker (A rating)","Skilled Worker"
